"NOME_MUN","RACA_COR","NU_ANO","CASOS"
"Bom Jardim","Parda","2019",8
"Bom Jardim","Parda","2020",0
"Bom Jardim","Parda","2021",0
"Bom Jardim","Parda","2022",0
"Bom Jardim","Parda","2023",1
"Bom Jardim","Parda","2024",154
"Bom Jardim","Parda","2025",9
"Bom Jardim","Indígena","2015",0
"Bom Jardim","Indígena","2016",0
"Bom Jardim","Indígena","2017",0
"Bom Jardim","Indígena","2018",0
"Bom Jardim","Indígena","2019",0
"Bom Jardim","Indígena","2020",0
"Bom Jardim","Indígena","2021",0
"Bom Jardim","Indígena","2022",0
"Bom Jardim","Indígena","2023",0
"Bom Jardim","Indígena","2024",2
"Bom Jardim","Indígena","2025",0
"Bom Jardim","Ignorado","2015",1
"Bom Jardim","Ignorado","2016",9
"Bom Jardim","Ignorado","2017",0
"Bom Jardim","Ignorado","2018",0
"Bom Jardim","Ignorado","2019",0
"Bom Jardim","Ignorado","2020",0
"Bom Jardim","Ignorado","2021",0
"Bom Jardim","Ignorado","2022",0
"Bom Jardim","Ignorado","2023",1
"Bom Jardim","Ignorado","2024",1478
"Bom Jardim","Ignorado","2025",43
"Bom Jesus do Itabapoana","Branca","2015",62
"Bom Jesus do Itabapoana","Branca","2016",27
"Bom Jesus do Itabapoana","Branca","2017",19
"Bom Jesus do Itabapoana","Branca","2018",24
"Bom Jesus do Itabapoana","Branca","2019",147
"Bom Jesus do Itabapoana","Branca","2020",7
"Bom Jesus do Itabapoana","Branca","2021",9
"Bom Jesus do Itabapoana","Branca","2022",6
"Bom Jesus do Itabapoana","Branca","2023",335
"Bom Jesus do Itabapoana","Branca","2024",289
"Bom Jesus do Itabapoana","Branca","2025",108
"Bom Jesus do Itabapoana","Preta","2015",1
"Bom Jesus do Itabapoana","Preta","2016",0
"Bom Jesus do Itabapoana","Preta","2017",0
"Bom Jesus do Itabapoana","Preta","2018",2
"Bom Jesus do Itabapoana","Preta","2019",36
"Bom Jesus do Itabapoana","Preta","2020",4
"Bom Jesus do Itabapoana","Preta","2021",3
"Bom Jesus do Itabapoana","Preta","2022",1
"Bom Jesus do Itabapoana","Preta","2023",79
"Bom Jesus do Itabapoana","Preta","2024",85
"Bom Jesus do Itabapoana","Preta","2025",53
"Bom Jesus do Itabapoana","Amarela","2015",0
"Bom Jesus do Itabapoana","Amarela","2016",0
"Bom Jesus do Itabapoana","Amarela","2017",0
"Bom Jesus do Itabapoana","Amarela","2018",0
"Bom Jesus do Itabapoana","Amarela","2019",3
"Bom Jesus do Itabapoana","Amarela","2020",0
"Bom Jesus do Itabapoana","Amarela","2021",0
"Bom Jesus do Itabapoana","Amarela","2022",0
"Bom Jesus do Itabapoana","Amarela","2023",8
"Bom Jesus do Itabapoana","Amarela","2024",19
"Bom Jesus do Itabapoana","Amarela","2025",4
"Bom Jesus do Itabapoana","Parda","2015",50
"Bom Jesus do Itabapoana","Parda","2016",9
"Bom Jesus do Itabapoana","Parda","2017",6
"Bom Jesus do Itabapoana","Parda","2018",7
"Bom Jesus do Itabapoana","Parda","2019",44
"Bom Jesus do Itabapoana","Parda","2020",4
"Bom Jesus do Itabapoana","Parda","2021",2
"Bom Jesus do Itabapoana","Parda","2022",1
"Bom Jesus do Itabapoana","Parda","2023",126
"Bom Jesus do Itabapoana","Parda","2024",246
"Bom Jesus do Itabapoana","Parda","2025",163
"Bom Jesus do Itabapoana","Indígena","2015",0
"Bom Jesus do Itabapoana","Indígena","2016",0
"Bom Jesus do Itabapoana","Indígena","2017",0
